"","CR_1D_1","CR_7D_1","CR_14D_1","CS_1D_1","CS_7D_1","CS_14D_1","TR_1D_1","TR_7D_1","TR_14D_1","TS_1D_1","TS_7D_1","TS_14D_1"
"GRMZM2G176558",458,1032,1051,145,158,118,419,1020,1260,117,194,83
"GRMZM2G103897",483,264,166,1995,1946,1117,371,356,292,1827,2244,888
"GRMZM2G119975",7,68,7,120,819,867,20,22,4,87,635,460
"GRMZM2G051752",136,358,149,2067,2005,1467,116,212,146,1553,1553,1428
"GRMZM2G041980",19,433,110,328,384,138,14,279,312,483,659,56
"GRMZM2G073044",444,1254,517,294,279,231,666,703,282,218,286,177
"GRMZM2G082434",37,8,7,2236,1550,342,32,10,7,1608,1688,676
"GRMZM2G169884",3,35,52,0,0,0,3,50,48,0,0,0
"GRMZM2G031323",109,10,6,3,11,3,40,13,10,2,9,5
"GRMZM2G158657",136,31,33,4,20,25,64,51,24,2,16,30
"GRMZM2G169321",1422,570,383,3937,3066,1589,782,423,612,3681,3159,1153
"GRMZM2G143756",121,22,11,172,73,73,61,9,26,199,114,109
"GRMZM2G035557",347,857,1938,3271,4501,7359,364,796,1611,2732,4590,7275
"GRMZM2G113355",664,1361,701,67,93,91,700,1089,573,59,130,44
"GRMZM2G133400",143,264,630,858,722,720,185,206,459,734,728,619
"GRMZM2G074540",1951,4770,5305,12,60,46,2212,5650,5241,18,46,57
"AC212347.3_FG002",10,64,158,0,0,0,7,102,214,0,0,0
"GRMZM2G476538",367,928,686,5450,5063,3732,385,734,426,4210,4534,3566
"GRMZM2G354338",2,44,33,0,0,0,4,20,19,0,0,0
"GRMZM2G147399",40,733,258,2,4,1,57,215,122,1,12,0
"GRMZM2G176230",254,72,54,0,0,0,137,65,70,0,0,0
"GRMZM2G059964",128,316,1210,29,40,32,157,454,1128,32,55,31
"GRMZM2G058261",661,413,377,2221,1462,1243,402,548,513,2176,1506,1271
"GRMZM2G361993",148,301,249,177,166,132,123,222,231,184,162,73
"GRMZM5G801875",405,217,159,1410,1448,1203,245,192,239,1228,1383,1347
"GRMZM2G123633",5,40,27,0,0,0,10,40,20,0,0,0
"GRMZM2G015219",147,315,261,145,162,165,116,261,269,152,184,121
"GRMZM2G032219",78,183,298,2773,2952,3168,71,214,305,2266,2663,2232
"GRMZM2G429396",114,287,1235,305,412,2257,143,286,1136,251,346,1181
"GRMZM2G373607",51,7,4,60,16,4,26,7,1,104,11,6
"GRMZM2G104626",1005,331,194,2786,2630,670,565,308,376,2756,2350,605
"GRMZM2G300965",161,1008,683,0,0,0,188,464,386,0,0,0
"GRMZM2G075563",144,390,182,10,27,18,119,560,367,8,16,18
"GRMZM2G000614",384,95,39,11,7,3,200,114,33,12,22,3
"GRMZM2G178046",105,42,23,6,10,1,47,24,23,13,2,1
"GRMZM2G075459",11,84,53,2,2,1,11,65,22,1,1,0
"GRMZM2G108523",389,1096,1228,320,393,344,523,1075,886,251,346,231
"GRMZM2G380656",225,638,280,30,30,42,225,702,62,33,43,37
"GRMZM2G138710",124,13,12,202,89,27,90,10,46,182,100,6
"GRMZM2G055150",181,398,577,92,58,92,126,400,863,70,48,80
"GRMZM2G703582",231,109,40,634,452,299,184,98,57,529,493,135
"GRMZM2G013448",1399,5855,4007,18,36,20,1433,2832,2325,19,48,6
"GRMZM2G366264",405,784,734,0,1,1,353,1014,940,1,1,0
"GRMZM2G407495",495,1197,741,38,92,90,494,1519,1058,25,87,76
"GRMZM2G162109",393,919,1104,3,13,10,349,570,1134,3,14,7
"GRMZM2G125268",1194,2760,2160,144,89,87,1503,1939,1083,89,95,63
"GRMZM2G086935",16,62,60,11,22,30,9,67,72,10,24,32
"GRMZM2G156472",220,71,18,4472,4158,2480,113,83,21,3427,3665,2571
"GRMZM2G151567",81,293,661,41,206,1247,70,302,631,13,203,1364
"GRMZM2G392863",663,2107,1326,24,14,7,832,1269,997,20,7,24
"GRMZM2G074097",389,1499,11867,261,814,16747,221,977,18462,233,715,16963
"GRMZM2G042347",4312,1012,734,192,134,43,1713,1496,989,162,154,32
"GRMZM2G319345",2496,623,240,0,0,0,1168,528,212,0,0,0
"GRMZM2G039536",26,86,155,1840,2509,2597,27,66,150,1533,2616,3110
"GRMZM2G075140",380,82,63,1210,997,394,159,50,108,1619,1108,369
"GRMZM2G100543",7,37,253,6,25,357,9,22,250,4,23,324
"GRMZM2G096753",131,407,526,24,24,15,116,371,532,11,21,14
"GRMZM2G149184",485,1066,1141,6,12,6,379,972,933,13,19,3
"GRMZM2G337706",24,73,43,2783,2142,2670,26,43,107,2148,2142,4998
"GRMZM2G393062",23,129,93,1,6,10,20,69,52,2,6,5
"GRMZM2G139689",342,639,335,802,651,223,307,508,392,643,773,320
"GRMZM2G170413",261,587,272,371,403,236,266,506,302,275,341,358
"GRMZM2G047533",119,47,40,7,8,8,154,52,20,2,5,9
"GRMZM2G138176",299,825,730,151,326,294,307,614,636,101,368,230
"GRMZM2G043147",1431,1008,511,386,355,230,934,1376,721,363,390,219
"AC197705.4_FG001",2,104,140,3,3,2,6,57,22,0,1,0
"GRMZM2G147491",200,50,22,146,96,95,69,28,25,145,91,76
"GRMZM2G052776",202,822,733,0,0,0,127,902,762,0,0,0
"GRMZM2G442658",3489,7320,8359,258,292,313,2655,5824,5440,178,350,245
"GRMZM2G026532",380,87,18,1,2,2,167,72,15,2,1,0
"GRMZM2G056093",589,1499,1465,9731,11283,12218,468,1079,1305,7556,7590,14664
"GRMZM2G376416",1554,911,376,4261,3522,1033,1012,812,674,3396,3545,890
"GRMZM2G306345",964,2898,2983,422185,473797,470350,978,1275,627,458961,452942,486528
"GRMZM2G009188",1736,361,485,8636,5781,1892,968,301,1003,9163,6995,1781
"GRMZM2G135586",92,232,254,166,134,130,92,311,369,147,156,167
"GRMZM2G094165",1354,443,295,16651,12439,8877,806,483,396,13971,11611,9427
"GRMZM5G851266",65,943,789,99,99,62,89,497,338,61,60,60
"AC204711.3_FG003",3,102,84,2,2,1,12,47,34,1,1,1
"GRMZM2G318780",245,141,138,259,194,189,171,212,106,206,192,195
"GRMZM2G374405",123,14,4,3,2,1,138,13,12,2,1,0
"GRMZM2G040911",29,94,96,6,8,6,29,113,77,4,5,6
"GRMZM2G023811",72,232,151,0,0,0,39,277,235,0,0,0
"GRMZM2G060481",3,17,10,4824,5330,6050,9,7,7,3855,4765,4855
"GRMZM2G148194",522,941,1493,829,1245,2325,503,938,1466,715,1256,1495
